Id;Task description;Required inputs;Optional inputs;Outputs;Prompt;Training data for level 2/4;Training data for level 3/7
0;"Teach chess in the most effective way possible.";"[CONVERSATION][...]"; "[NAME][...], [AGE][...], [ELO][...], [SUMMARY][...], ..."; "[REASONING][...], [REPLY][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [REPLY][Reply to conversation]. \n\n[TASK][I am an expert level chess teacher. My goal is to help the person as best as I can on any chess related problems. I always think step by step and always provide my reasoning. (The person I am teaching is named [NAME] and is [AGE] years old with a rating of [ELO] ELO. My explanations shall be clear and tailored to the person I am teaching. This is a summary of what I know of this player: [SUMMARY].) This is our conversation up until now: [CONVERSATION].]";"Examples written by chess teachers. (+variations by GPT4?)";"/"
1;"Answer chess trivia questions";"[QUESTION][...]";; "[REASONING][...], [REPLY][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [REPLY][Reply to question]. \n\n[TASK][I am an expert level chess fanatic. My goal is to answer the following question to the best of my abilities. I always think step by step and always provide my reasoning. [QUESTION]]";"Examples written by chess enthusiasts + variations by GPT4?";"/"
2;"Summarize a game";"[PGN][...]";; "[REASONING][...], [SUMMARY][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [SUMMARY][Summary of game]. \n\n[TASK][I am an expert level chess journalist. My goal is to summarize the following game. I always think step by step and always provide my reasoning. For every important move I will briefly discuss the main reasons it has been played/reasons it should not have been played. The moves played in the game are: [PGN].]";"Examples written by chess journalists. (+variations by GPT4?)";"/"
3;"Summarize a sequence of moves";"[FEN][...], [MOVES][...]";; "[REASONING][...], [SUMMARY][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [SUMMARY][Summary of sequence of moves]. \n\n[TASK][I am an expert level chess journalist. My goal is to summarize the following sequence of moves. I always think step by step and always provide my reasoning. For every important move I will briefly discuss the main reasons it has been played/reasons it should not have been played. The starting position is: [FEN] and the moves are: [MOVES].]";"Examples written by chess journalists. (+variations by GPT4?)";"/"
4;"Explain reasoning behind a move";"[FEN][...], [MOVE][...]";"[ELO][...]"; "[REASONING][...], [EXPLANATION][...], [EVALUATION][...]"; "The following text consists of 4 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [EXPLANATION][Explanation for move], [EVALUATION][Change in evaluation before and after move is played]. \n\n[TASK][I am an expert level chess player. My goal is to give a sensible explanation behind the following move. I shall discuss the advantages and drawbacks. I always think step by step and always provide my reasoning. In this position: [FEN] the move: [MOVE] was played. (The player that played this move had an elo-rating of [ELO])]";"Examples written by expert chess players. (+variations by GPT4?)";"/"
5;"Find the best move based on FEN";"[FEN][...]";"[ELO][...]"; "[REASONING][...], [MOVE][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVE][Best move]. \n\n[TASK][I am an expert level chess player. My goal is to find the best move in this position: [FEN]. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
6;"Find the best move based on previous moves";"[MOVES][...]";"[ELO][...]"; "[REASONING][...], [MOVE][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVE][Best move]. \n\n[TASK][I am an expert level chess player. My goal is to find the best move after [MOVES]. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
7;"Find the best move with memory";"[FEN][...], [MEMORY][...]";"[MOVES][...]"; "[REASONING][...], [MOVE][...], [NEW MEMORY][...]"; "The following text consists of 5 parts: [TASK][Explanation for task], [MEMORY][Memory written in previous position], [REASONING][Reasoning for said task], [MOVE][Best move], [NEW_MEMORY][The memory that will be read in the nex position]. \n\n[TASK][I am an expert level chess player. My goal is to find the best move in this position: [FEN]. (The moves leading up to this position are [MOVES].) I always think step by step and always provide my reasoning.] \n\n[MEMORY][[MEMORY]]]";"";"Computer + self-play."
8;"Generate legal moves based on FEN";"[FEN][...]";"[ELO][...]"; "[REASONING][...], [MOVES][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVES][Legal moves sorted from best to worst]. \n\n[TASK][I am an expert level chess player. My goal is to find all the legal moves in this position: [FEN],  sorted from best to worst. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
9;"Generate legal moves based on previous moves";"[MOVES][...]";"[ELO][...]"; "[REASONING][...], [MOVES][...]"; "The following text consists of 3 parts: [TASK][Explanation for task], [REASONING][Reasoning for said task], [MOVES][Legal moves sorted from best to worst]. \n\n[TASK][I am an expert level chess player. My goal is to find all the legal moves after [MOVES], sorted from best to worst. I always think step by step and always provide my reasoning.]";"Examples written by expert chess players + computer. (+variations by GPT4?)";"Computer + self-play."
